Gene_id	A1	B1	A2	A3	B2	B3	length
G000793	634	675	541	673	306	594	912
G000794	597	1031	1554	459	545	470	625
G000795	15818	8957	12223	18610	8015	24732	585
G000796	375	207	543	611	158	696	324
G000797	30	5	30	15	12	14	570
G000798	195	381	199	230	168	182	1500
G000799	1938	4439	1488	2369	3056	2183	1272
G000800	8036	4885	11699	12198	2951	9377	855
G000801	6486	13944	6006	6691	8431	13651	1866
G000802	908	2006	1064	986	1219	1044	834
G000803	394	1003	314	481	405	360	1770
G000804	239	241	142	251	170	170	2505
G000805	79	10	120	77	6	32	408
G000806	560	248	557	527	129	527	1279
G000807	2591	2418	2518	3089	1103	1405	819
G000808	1213	1961	876	1198	1075	741	1176
G000809	689	274	748	904	151	1133	511
G000810	313	161	491	365	70	251	726
G000811	942	963	412	966	393	595	4263
G000812	615	643	611	695	456	506	2334
G000813	165	165	320	271	55	192	2082
G000814	655	1087	552	641	470	704	1638
G000815	1094	511	711	998	438	679	465
G000816	4434	7866	6946	4809	4615	4163	945
G000817	299	693	416	302	286	253	363
G000818	988	1435	1293	1201	929	643	1029
G000819	2255	1518	1697	2217	935	1289	1215
G000820	276	356	760	427	206	242	1392
G000821	2428	4040	3590	2804	1905	3376	2793
G000822	2119	2781	2231	2244	1750	1021	607
G000823	904	1568	1705	1068	668	663	1257
G000824	3008	1305	2901	3567	866	1612	417
G000825	3790	4238	1396	3922	3606	2060	897
G000826	3031	6308	2746	3385	3440	5617	1387
G000827	1334	10742	817	1283	3534	3102	4158
G000828	985	1590	1921	1059	1167	1050	1293
G000829	39702	28326	68950	101619	30892	117297	438
G000830	1297	1556	1844	1529	1402	2212	738
G000831	175	214	262	183	89	190	879
G000832	1375	5527	549	1273	3218	1807	2532
G000833	1050	2386	728	1037	1883	1170	982
G000834	82	19	56	63	10	25	819
G000835	209	233	201	306	79	272	564
G000836	751	3422	299	839	1642	688	1101
G000837	2019	1025	1085	2126	870	1410	1461
G000838	23505	13913	3916	24461	10445	22578	930
G000839	5119	10544	1055	6081	6665	4317	1023
G000840	705	2176	604	743	938	929	3015
G000841	164	486	201	225	140	178	2851
G000842	406	326	460	523	239	229	767
G000843	633	1376	468	781	613	764	2845
G000844	984	606	783	1110	436	758	848
G000845	4880	22362	1252	4161	11934	5861	1320
G000846	664	1088	729	796	449	735	3018
G000847	3768	1801	2137	3484	946	3536	531
G000848	3825	6577	6622	4231	4034	2564	507
G000849	876	953	1113	991	786	596	669
G000850	374	621	308	361	331	176	555
G000851	2248	1756	2412	2446	500	360	1359
G000852	405	1020	354	407	597	476	1281
G000853	3362	937	2793	4848	737	3230	354
G000854	1296	1176	634	1265	329	1862	396
G000855	419	585	326	470	375	245	1488
G000856	157	418	114	154	198	117	2274
G000857	2676	1180	3815	3346	623	1623	1590
G000858	563	1438	545	652	830	768	2937
G000859	29	20	88	19	17	57	744
G000860	11	12	15	23	16	34	537
G000861	39	17	30	33	7	45	1668
G000862	168	226	181	178	151	93	510
G000863	5424	5720	4623	6053	5748	4758	1218
G000864	711	1309	573	628	1115	515	1326
G000865	2204	8608	1166	2352	3313	2818	1401
G000866	1698	3393	1713	2068	2120	2541	1110
G000867	687	1600	463	707	794	897	1920
G000868	2603	1518	1721	2956	897	4041	357
G000869	3028	1906	2282	2797	1735	3002	978
G000870	1079	1417	190	1037	767	356	492
G000871	717	931	777	766	586	353	698
G000872	2378	1420	1891	2383	968	652	702
G000873	653	918	982	770	269	432	1170
G000874	1192	2100	1378	1304	1218	1136	698
G000875	1601	563	1968	2162	327	1627	798
G000876	1676	3268	2197	1764	1283	1220	5406
G000877	361	239	569	372	162	302	735
G000878	325	911	1003	366	495	296	908
G000879	2092	750	1958	1972	503	1630	1047
G000880	1353	4715	1060	1774	2448	1827	1710
G000881	1867	4282	788	1814	3485	2145	1116
G000882	9046	9336	7359	10422	4750	4251	901
G000883	5477	3949	6673	5309	1921	5917	1485
G000884	1025	2928	806	1033	1192	1164	2814
G000885	475	501	668	636	319	339	2133
G000886	165	437	218	246	181	234	3117
G000887	1170	1598	2002	1385	1219	794	817
G000888	528	1805	365	622	1061	530	1926
G000889	46	19	29	49	19	35	390
G000890	8162	4478	8645	12218	3980	4042	426
G000891	95	190	265	158	83	84	1140
G000892	3458	4268	4109	4750	3516	2660	1053
G000893	2196	2432	2098	2428	2604	1498	1194
G000894	19315	6635	16712	19891	4173	15302	435
G000895	810	1012	606	754	547	515	804
G000896	511	2042	504	619	790	968	2487
G000897	3368	7123	4162	3538	3534	4589	2040
G000898	19	29	44	24	15	20	570
G000899	4638	2043	6657	5328	1271	2877	1239
G000900	37	47	177	120	35	66	771
G000901	844	2571	972	980	1278	1029	3138
G000902	452	90	429	427	44	205	534
G000903	863	2501	2374	1130	1217	747	807
G000904	5007	17165	4536	4759	6997	9138	2364
G000905	1392	1527	2209	1549	677	962	1395
G000906	1586	1634	2583	1489	837	1489	2103
G000907	702	4030	467	741	1245	840	2789
G000908	950	1413	1408	805	566	670	1143
G000909	317	1905	114	305	631	461	1706
G000910	494	1545	602	552	571	613	2635
G000911	247	625	829	312	259	392	1455
G000912	3522	3761	1959	3646	2496	1476	639
